#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S23027	1994-016A	[Navstar 2A-15]	1994 Mar 10 	2011	2014 Feb 21	2014 Feb 21	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/276	  357.3 	     185	   20422	 34.8 	2014 Feb 24 	   19951	   20413	 54.08 	-
S23833	1996-019A	[GPS 33]	1996 Mar 28 	2006 Jul	2014 Aug  2	2014 Aug  2	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/310	  356.9 	     192	   20387	 34.9 	2014 Aug  4 	   19730	   20636	 53.81 	-
S23953	1996-041A	[Navstar]	1996 Jul 16 	2015 Jul	2015 Jul 16	2016 Mar	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/322	   95.0 	     467	     570	 35.2 	2016 Mar  2 	   19767	   20597	 53.93 	-
S24320	1996-056A	[Navstar]	1996 Sep 12 	2006 Jun	2012 Jan	2012 Jan	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/322	  364.0 	     185	   20356	 35.0 	2012 Jan  2 	   19850	   20523	 55.20 	-
S24876	1997-035A	[Navstar]	1997 Jul 23 	2023 Feb  5	*	*	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/339	  356.7 	     191	   20376	 39.2 	2024 Oct 12 	   19956	   20408	 55.71 	-
S25030	1997-067A	[Navstar]	1997 Nov  6 	2006 Jul	2014 Oct	2015 Mar 26	-	GPS IIA	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/339	  720.4 	   19871	   20643	 54.9 	2015 Mar 28 	   19794	   20568	 56.98 	-
S25933	1999-055A	[GPS 46]	1999 Oct  7 	2020 Nov 10	2020 Nov 10	*	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/369	  718.0 	   20098	   20269	 53.0 	2024 Oct 12 	   19862	   20501	 51.99 	-
S26360	2000-025A	[GPS]	2000 May 11 	2023 Feb  5	*	*	-	GPS IIR	3	-	M	D	NAV	S	2SOPS/Schriever	-	US	ST/SG/SER.E/379	  718.0 	   20131	   20254	 54.8 	2024 Oct 12 	   20076	   20286	 54.76 	-
S26407	2000-040A	[GPS]	2000 Jul 16 	2021 Jun 23	2021 Jun 23	2021 Jun 23	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/379	  723.0 	   20200	   20441	 55.0 	2021 Jun 25 	   19712	   20653	 55.72 	-
S26605	2000-071A	[GPS]	2000 Nov 10 	2023 Jan 25	2023 Jan 25	2023 Jan 25	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/385	  718.3 	   20110	   20276	 55.0 	2023 Jan 27 	   19808	   20554	 55.13 	-
S26690	2001-004A	[GPS 54]	2001 Jan 30 	2018 Jan	2018 Mar  5	2018 Mar  5	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/392	  716.0 	   20103	   20220	 54.9 	2018 Mar  7 	   19680	   20683	 53.09 	-
S27663	2003-005A	Navstar 51	2003 Jan 29 	2023 Feb  5	*	*	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/428	  356.1 	     175	   20354	 39.1 	2024 Oct 12 	   19812	   20550	 55.06 	-
S27704	2003-010A	Navstar 52	2003 Mar 31 	2023 Feb  5	*	*	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/428	  356.8 	     193	   20380	 39.0 	2024 Oct 12 	   19502	   20860	 55.07 	-
S28129	2003-058A	Navstar 53	2003 Dec 21 	2022 Jan 18	2022 Jan 18	2022 Jan 18	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/444	  356.1 	     187	   20378	 39.0 	2022 Jan 20 	   19993	   20370	 53.75 	-
S28190	2004-009A	Navstar 54	2004 Mar 20 	2023 Feb  5	*	*	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/451	  355.8 	     183	   20201	 38.9 	2024 Oct 12 	   19920	   20445	 55.35 	-
S28361	2004-023A	Navstar 55 (USA 178)	2004 Jun 23 	2020 Mar	2020 Mar  2	2020 Mar  2	-	GPS IIR	3	-	M	D	NAV	S	-	-	US	ST/SG/SER.E/453	  356.4 	     184	   20364	 38.9 	2020 Mar  4 	   19817	   20547	 54.06 	-
S28474	2004-045A	Navstar 56 (USA 180)	2004 Nov  6 	2023 Feb  5	*	*	-	GPS IIR	3	-	M	D	NAV	S	CSOC/Schriever	-	US	ST/SG/SER.E/465	  356.6 	     174	   20396	 39.1 	2024 Oct 12 	   19744	   20619	 55.40 	-
S28874	2005-038A	Navstar 57 (USA 193)	2005 Sep 26 	2023 Feb  5	*	*	-	GPS IIRM	3	-	M	D	NAV	S	CSOC/Schriever	-	US	ST/SG/SER.E/484	  357.6 	     281	   20338	 39.4 	2024 Oct 12 	   19815	   20546	 55.40 	-
S29486	2006-042A	Navstar 58 (USA 190)	2006 Sep 25 	2023 Feb  5	*	*	-	GPS IIRM	3	-	M	D	NAV	S	CSOC/Schriever	-	US	ST/SG/SER.E/506	  357.0 	     174	   20410	 39.9 	2024 Oct 12 	   19902	   20459	 54.68 	Global Positioning System navigation satellite.
S29601	2006-052A	Navstar 59 (USA 192)	2006 Nov 17 	2023 Feb  5	*	*	-	GPS IIRM	3	-	M	D	NAV	S	CSOC/Schriever	-	US	ST/SG/SER.E/506	  717.9 	   20088	   20277	 55.0 	2024 Oct 12 	   19955	   20407	 55.10 	Global Positioning System navigation satellite.
S32260	2007-047A	Navstar 60 (USA 196)	2007 Oct 17 	2023 Feb  5	*	*	-	GPS IIRM	3	-	M	D	NAV	S	CSOC/Schriever	-	US	ST/SG/SER.E/534	  355.1 	     205	   20265	 40.0 	2024 Oct 12 	   19759	   20605	 53.67 	Global Positioning System navigation satellite.
S32384	2007-062A	USA 199	2007 Dec 20 	2023 Feb  5	*	*	-	GPS IIRM	3	-	M	D	NAV	S	CSOC/Schriever	-	US	ST/SG/SER.E/534	  356.1 	     194	   20357	 40.0 	2024 Oct 12 	   20108	   20257	 55.54 	Global Positioning System navigation satellite.
