#JCAT,Piece,Name,LDate,TLast,TOp,TDate,TF,Program,Plane,Att,Mvr,Class,Category,Result,Control,Discipline,UNState,UNReg,UNPeriod,UNPerigee,UNApogee,UNInc,DispEpoch,DispPeri,DispApo,DispInc,Comment
S25883,1999-043A,[Globalstar],8/17/1999,2010 Aug,2011 Aug,2011 Sep 28,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/369,  114.1 ,    1413,    1414, 52.0 ,9/30/2011,2109,2111,52,-
S25884,1999-043B,[Globalstar],8/17/1999,2010 Aug,2016 Oct  3,2016 Dec  5,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/369,  114.1 ,    1413,    1414, 52.0 ,12/7/2016,2123,2155,52.02,-
S25885,1999-043C,[Globalstar],8/17/1999,2005 May,2005 May,2010 Jul 23,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/369,  114.1 ,    1413,    1414, 52.0 ,7/25/2010,1952,1962,52.01,-
S25886,1999-043D,[Globalstar],8/17/1999,2006 Aug,2010 Sep 30,2010 Dec  2,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/369,  114.1 ,    1413,    1414, 52.0 ,12/4/2010,2021,2023,52,-
S25907,1999-049A,Globalstar M058,9/22/1999,2010 May,2010 May  6,2013 Jan 18,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,5/20/2010,1573,1574,51.99,-
S25908,1999-049B,Globalstar M050,9/22/1999,2006 Aug,2008 Jan 18,2008 Aug 10,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,8/12/2008,1641,1655,52,-
S25909,1999-049C,Globalstar M033,9/22/1999,2010 Aug,2012 Sep  7,2012 Dec 13,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,12/16/2012,1592,1592,52,-
S25910,1999-049D,Globalstar M055,9/22/1999,2006 Aug,2009 Oct 22,2010 Jul 30,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,8/1/2010,1546,1559,52,-
S25943,1999-058A,Globalstar M057,10/18/1999,2010 Aug,2010 Dec 23,2014 Jul 30,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,12/25/2010,1469,1470,52,-
S25944,1999-058B,Globalstar M059,10/18/1999,2010 Aug,2016 Mar 10,2016 Jul  2,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,7/4/2016,1680,1682,52,-
S25945,1999-058C,Globalstar M056,10/18/1999,2010 Aug,2014 Nov 25,2015 Apr 24,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,12/22/2014,1577,1578,52,-
S25946,1999-058D,Globalstar M031,10/18/1999,2010 Aug,2012 Sep 20,2014 Mar 28,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,9/22/2012,1476,1478,52,-
S25961,1999-062A,Globalstar M039,11/22/1999,2016 Jan 26,2016 Jan 26,2016 Jan 26,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,1/28/2016,1411,1416,51.98,-
S25962,1999-062B,Globalstar M034,11/22/1999,2010 Jul,2010 May 10,2014 Apr 11,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,7/24/2010,1611,1612,51.99,-
S25963,1999-062C,Globalstar M029,11/22/1999,2010 Aug,2016 May  2,2016 May 24,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,5/26/2016,1679,1684,51.98,-
S25964,1999-062D,Globalstar M061,11/22/1999,2005 May,2005 May,2007 Aug 30,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/688,-,-,-,-,9/1/2007,1782,1791,51.98,-
S26081,2000-008A,[Globalstar],2/8/2000,2018 Jan 11,2018 Jan 11,2018 Apr 26,-,Globalstar,-,-,M,B,COM,S,-,-,US,ST/SG/SER.E/379,  103.5 ,     913,     932, 52.0 ,4/28/2018,1739,1747,51.99,-
