#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	Result	Control	Discipline	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	DispEpoch	DispPeri	DispApo	DispInc	Comment
S43078	2017-083J	Iridium 153	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.1 	     609	     626	 86.7 	2024 Oct 13 	     776	     778	 86.40 	-
S43079	2017-083K	Iridium 131	2017 Dec 23 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   98.0 	     654	     670	 86.6 	2024 Oct 13 	     776	     779	 86.40 	-
S43249	2018-030A	Iridium 144	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S43250	2018-030B	Iridium 149	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S43251	2018-030C	Iridium 157	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 12 	     776	     779	 86.40 	-
S43252	2018-030D	Iridium 140	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S43253	2018-030E	Iridium 145	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S43254	2018-030F	Iridium 146	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 12 	     775	     779	 86.40 	-
S43255	2018-030G	Iridium 148	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S43256	2018-030H	Iridium 142	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 12 	     775	     779	 86.40 	-
S43257	2018-030J	Iridium 150	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 13 	     775	     779	 86.40 	-
S43258	2018-030K	Iridium 143	2018 Mar 30 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   97.0 	     625	     644	 86.7 	2024 Oct 12 	     775	     779	 86.40 	-
S43478	2018-047C	Iridium 161	2018 May 22 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   96.6 	     495	     709	 86.7 	2024 Oct 13 	     746	     749	 86.45 	-
S43479	2018-047D	Iridium 152	2018 May 22 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   96.7 	     494	     713	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S43480	2018-047E	Iridium 147	2018 May 22 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   96.7 	     498	     709	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S43481	2018-047F	Iridium 110	2018 May 22 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   96.7 	     483	     720	 86.7 	2024 Oct 13 	     776	     778	 86.40 	-
S43482	2018-047G	Iridium 162	2018 May 22 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   96.7 	     487	     720	 86.7 	2024 Oct 13 	     746	     748	 86.45 	-
S43569	2018-061A	Iridium 160	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	  100.4 	     773	     779	 86.7 	2024 Oct 13 	     776	     779	 86.39 	-
S43570	2018-061B	Iridium 166	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   99.1 	     714	     716	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S43571	2018-061C	Iridium 158	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	  100.4 	     776	     779	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S43572	2018-061D	Iridium 165	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	  100.0 	     758	     762	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S43573	2018-061E	Iridium 155	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	  100.4 	     776	     779	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S43574	2018-061F	Iridium 154	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   99.1 	     713	     716	 86.7 	2024 Oct 13 	     776	     779	 86.40 	-
S43575	2018-061G	Iridium 163	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	  100.4 	     775	     778	 86.7 	2024 Oct 13 	     776	     779	 86.39 	-
S43576	2018-061H	Iridium 156	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	  100.4 	     776	     779	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S43577	2018-061J	Iridium 164	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	   99.1 	     713	     715	 86.7 	2024 Oct 13 	     775	     779	 86.39 	-
S43578	2018-061K	Iridium 159	2018 Jul 25 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/877	  100.4 	     776	     779	 86.7 	2024 Oct 13 	     776	     779	 86.39 	-
S43922	2019-002A	Iridium 180	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	  100.4 	     777	     779	 86.4 	2024 Oct 13 	     776	     779	 86.39 	-
S43923	2019-002B	Iridium 176	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	   97.8 	     652	     656	 86.6 	2024 Oct 13 	     652	     655	 86.61 	-
S43924	2019-002C	Iridium 168	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	  100.4 	     776	     779	 86.4 	2024 Oct 13 	     776	     779	 86.39 	-
S43925	2019-002D	Iridium 173	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	  100.4 	     776	     779	 86.4 	2024 Oct 13 	     776	     779	 86.39 	-
S43926	2019-002E	Iridium 169	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	  100.1 	     760	     767	 87.4 	2024 Oct 13 	     761	     764	 86.42 	-
S43927	2019-002F	Iridium 172	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	  100.4 	     776	     779	 86.4 	2024 Oct 13 	     776	     779	 86.39 	-
S43928	2019-002G	Iridium 175	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	   97.8 	     651	     656	 86.4 	2024 Oct 13 	     651	     655	 86.15 	-
S43929	2019-002H	Iridium 171	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	  100.4 	     776	     779	 86.4 	2024 Oct 13 	     775	     779	 86.39 	-
S43930	2019-002J	Iridium 170	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	   97.8 	     652	     656	 86.4 	2024 Oct 13 	     652	     655	 86.61 	-
S43931	2019-002K	Iridium 167	2019 Jan 11 	2023 Feb	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/924	  100.4 	     777	     779	 86.4 	2024 Oct 13 	     775	     779	 86.39 	-
S56726	2023-068S	Iridium 181	2023 May 20 	2023 May 20	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/1131	   97.3 	     626	     631	 86.7 	2024 Oct 13 	     744	     748	 86.86 	-
S56727	2023-068T	Iridium 177	2023 May 20 	2023 May 20	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/1131	   97.3 	     627	     630	 86.7 	2024 Oct 13 	     626	     630	 86.19 	-
S56728	2023-068U	Iridium 174	2023 May 20 	2023 May 20	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/1131	   97.3 	     627	     630	 86.7 	2024 Oct 13 	     626	     630	 86.19 	-
S56729	2023-068V	Iridium 178	2023 May 20 	2023 May 20	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/1131	   97.3 	     627	     630	 86.7 	2024 Oct 13 	     626	     630	 86.57 	-
S56730	2023-068W	Iridium 179	2023 May 20 	2023 May 20	*	*	-	Iridium Next	-	-	M	B	COM	S	-	-	US	ST/SG/SER.E/1131	   97.3 	     627	     630	 86.7 	2024 Oct 13 	     626	     630	 86.67 	-
